StockNum,StockScore
2376.TW,33.13888344279973
2353.TW,28.56246873048212
3481.TW,11.841890097526848
2409.TW,10.424945089951896
2337.TW,7.064130949161686
2344.TW,0.9562962962962916
2809.TW,-0.5199486155936777
2303.TW,-3.4636394688749585
2884.TW,-3.5704432182271244
2636.TW,-7.200487779139236
2449.TW,-8.392493074792238
3049.TW,-9.972376524574337
3037.TW,-11.827559110527307
2882.TW,-12.873491343828
2363.TW,-16.496269091288777
2328.TW,-17.02493415211232
2881.TW,-17.423749442168045
6257.TW,-23.77157889647656
2484.TW,-27.53272659323097
2329.TW,-29.75225000000001
2476.TW,-57.89855695856723
